,nearest_farm
125,65.59959765452491
126,2405.8753118687864
127,9021.606098537204
128,12625.547841968162
129,18286.809065176592
130,13865.709950606946
131,6047.249239479031
132,9286.477707208178
133,12777.372383277343
134,8913.116555979832
135,16824.235047560014
136,4056.611425876578
137,18172.850907785178
138,12920.474462330161
139,9749.88687784122
140,17033.518163375855
141,10560.25797217707
142,6856.655655143492
143,4157.690015385791
144,16730.58054079138
145,11239.08704390168
146,12080.729799993147
147,18857.858905017747
148,14233.269552911152
149,3194.020767229615
150,17006.182103824674
151,15634.475772908088
152,9564.836373358905
153,6621.226813081453
154,16856.400167802785
155,12542.223612735868
156,14292.509047950802
157,4052.740780471421
158,16160.990333307496
159,16160.990333307496
160,8234.152017283175
161,9762.098756876296
162,12480.36539561384
163,16092.475580071949
164,10429.98698615433
165,6187.235380781003
166,5541.922721251603
167,11454.704100154826
168,17876.705096630863
169,1642.3672359101429
170,11243.788855850815
171,13315.345376895451
172,13884.856605567367
173,17215.480866452086
174,16286.01432625307
175,12558.902391566422
176,6486.077648740209
177,3694.720528297074
178,19189.14573925953
179,13377.62154088599
180,12760.455770107099
181,3268.5622870536363
182,8243.552565275153
183,14840.305033765873
184,16738.117014049192
185,17307.417790962834
186,8252.761165693913
187,19003.649052740922
188,12718.9187087837
189,22929.95929611589
190,10027.946143091584
191,9496.708181465869
192,16822.437262382464
193,6213.916087740354
194,16565.15830290896
195,6229.075822324215
196,17099.091002927147
197,14860.150880156236
198,19787.781488215667
199,8625.33806449695
200,15997.1402121764
201,14105.529021925224
202,19314.63555876829
203,6854.670809039403
204,10463.796527307479
205,9060.047167735729
206,16856.586679629127
207,13187.477239453583
208,6443.839034178344
209,11646.110184268286
210,14266.349438693273
211,8611.456848266904
212,22929.95929611589
213,4164.170381006261
214,16043.033224583667
215,13745.646609186517
216,13051.802254846247
217,9241.864256694624
218,18777.35703090221
219,13081.605343680907
220,6691.946727234999
221,18069.67799390257
222,15188.004134496017
223,7078.671405769767
224,7971.506561768356
225,11553.305602200368
226,14094.543777949579
227,18436.541906655777
228,18256.870226949697
229,16801.624076644137
230,15649.59048873179
231,6433.2948509163
232,18142.588266485855
233,18276.545158032113
234,15687.670021025242
235,12278.93424470933
236,12686.167366189437
237,8157.108337851822
238,11582.702253927888
239,7669.707952675826
240,4106.276929204029
241,4106.276929204029
242,6870.362308610047
243,5833.045033739871
244,16670.174761596652
245,16753.20181421642
246,13536.789111559647
247,16769.311516877868
248,10978.432333447003
249,5476.824045479539
250,15683.886176580583
251,10963.150780834872
252,20938.34408303711
253,388.6253061420404
254,1179.944908762546
255,18728.385355859573
256,18541.50670967365
257,8827.765063430548
258,12986.441774305484
259,16219.012982212202
260,12301.286875428754
261,13578.787774067609
262,9824.00841802784
263,9680.317360823832
264,8646.116168048633
265,17986.462174681532
266,15039.406949593942
267,8290.204190352397
268,12103.8538105654
269,17902.697264211038
270,10629.56381665051
271,18246.212813761726
272,18679.54067561463
273,12849.427790480539
274,11374.59896216679
275,3904.475434166861
276,13057.167799879768
277,10142.670313948525
278,4766.126240116678
279,20509.818624603467
280,16873.49493627732
281,12524.787844163784
282,11880.798267082258
283,15538.371491021764
284,6755.579017188061
285,13223.612437073014
286,15568.59923779262
287,17050.495476649412
288,13291.119246600098
289,11687.498414636548
290,10895.344112192543
291,18921.20402275567
292,8226.618241829221
293,3803.7005375293543
294,11650.657970225613
295,10728.712767055034
296,7551.0620142126645
297,18291.84759992522
298,19282.196499705555
299,12478.511430137933
300,5066.121665574049
301,10521.845094989143
302,16670.292746235467
303,16497.613482666606
304,16847.600598214634
305,4799.453057514737
306,11721.038734504962
307,16028.850684051087
308,4657.6096921369835
309,17350.66123890462
310,18119.831153015293
311,5827.474706328832
312,8203.478269434474
313,5521.475685549582
314,9998.110680101492
315,13606.987369852317
316,15215.903306650805
317,5697.769172400552
318,9115.866321214879
319,18227.81041120055
320,18981.467187781996
321,10636.735670957538
322,12906.059253793062
323,17068.496456949193
324,15076.612508910002
325,13951.222702634841
326,14938.756489796599
327,6998.779903092141
328,17575.052041767085
329,6252.971042330633
330,19333.400422505216
331,10129.13608683189
332,6240.033192265388
333,8972.786332354628
334,16698.493830538915
335,13780.946163938203
336,19225.14993363976
337,9035.400458990262
338,10216.91769905317
339,16290.915505415174
340,10636.884209452724
341,16455.70370722442
342,21074.05248754317
343,8488.413523515781
344,18572.28712725769
345,5832.070895955742
346,9572.078452624653
347,16807.592415842915
348,18780.64324842661
349,18035.678628636102
350,9940.046140783452
351,6676.469259179986
352,5002.216294849886
353,15496.372567669525
354,15538.371491021764
355,17848.25879285489
356,19304.07052629586
357,10961.138354976989
358,4969.597862164422
359,7949.657611529456
360,3078.1253863339466
361,14759.650324565211
362,14759.650324565211
363,8249.264770641941
364,16957.992891232116
365,16827.720888918542
366,14872.160564769563
367,18387.429540570367
368,6571.192197614174
369,5963.15455937429
370,12084.204823639942
371,18033.318564424808
372,8157.898874673976
373,13574.094356287034
374,8061.789244496711
375,15576.592094226271
376,12820.491226674096
377,14590.535122743187
378,10500.423537967852
379,22738.244539786494
380,11421.22207088816
381,15635.632684570519
382,10667.387123320836
383,11170.446375110208
384,10961.840940369997
385,20723.599049477234
386,6132.771896773172
387,8748.833567359294
388,8492.4689191574
389,17813.320179175455
390,13258.54259526874
391,14814.541375773304
392,18040.592580814002
393,18860.433938648588
394,12581.987396460267
395,12652.382504549534
396,6657.623332255054
397,12801.355855158567
398,15969.217668899857
399,18789.09829868388
400,4065.4946740025675
401,4195.658732758276
402,18107.423933736103
403,18201.355733929464
404,19399.21692708251
405,11046.317291819198
406,14886.550021112344
407,15498.217296203338
408,5441.475370891506
409,12798.926093943523
410,14626.450993559607
411,14247.525470872284
412,18136.006803042135
413,15200.671138891616
414,7707.301764819038
415,7381.249192782726
416,10806.146231177241
417,17391.57789811258
418,8278.185576620166
419,8569.7624242915
420,15117.494872040435
421,5284.505131067797
422,15630.308730930703
423,16244.266663008477
424,8746.021413158625
425,12255.52457492285
426,17945.202298417997
427,1710.442817573862
428,12244.772059196735
429,6543.1763474782765
430,7777.401985381213
431,18040.947250983263
432,6504.024263903804
433,6409.171654830949
434,3382.422024189715
435,10898.953706907716
436,13631.286911377745
437,14118.915285802559
438,4809.970657161966
439,8970.65013968735
440,5760.266542165514
441,13020.533379701581
442,19475.810770928143
443,9406.117896453525
444,8545.13169067003
445,13165.759290140468
446,19706.567411900865
447,6232.911108108751
448,11575.132960162075
449,19143.559335298512
450,18269.06409994611
451,14695.517030822733
452,15922.746686508433
453,12393.306167105855
454,12717.63433990696
455,17272.809128701334
456,6869.162657197188
457,3111.9637010677634
458,18194.964026193888
459,14655.838104111837
460,16613.82850940752
461,5950.641962655163
462,15205.3765753584
463,15677.360395651469
464,15492.968418455344
465,15020.833963856607
466,15492.968418455344
467,13998.071311981521
468,15624.432378833555
469,8903.877880926591
470,16289.750749367044
471,15624.432378833555
472,9601.351883642797
473,7824.634062344899
474,11482.866745385825
475,16491.046833565284
476,13049.6555362965
477,1446.7519843747039
478,15750.816678574765
479,5222.360888213331
480,8499.762753458177
481,6852.861883429592
482,8575.518095515139
483,18526.387551612206
484,18211.9066540539
485,16538.55541264636
486,13915.940247051953
487,13220.75210730326
488,13493.072527332148
489,7756.267882758908
490,15428.726831888622
491,8560.059399932541
492,13216.315146267461
493,5605.564372601231
494,18275.117818241877
495,12923.987623167543
496,6398.249880869874
497,12407.62419345024
498,19958.487908239265
499,18708.208511578086
500,19037.940828621122
501,2519.388303410702
502,14989.80205396118
503,2055.4374004263127
504,16279.68275385474
505,16467.97681211682
506,5112.15494267417
507,17867.64945512679
508,13113.089822621674
509,12167.017413607417
510,11339.25975596855
511,12159.129300477838
512,9601.94811053358
513,12045.311392223097
514,15424.462921963153
515,12945.40665783197
516,4896.248778508858
517,21134.387741919487
518,8502.658822846348
519,6333.778764136334
520,3253.484735185787
521,19916.68128835895
522,4135.050266595566
523,15401.92972521375
524,10410.675010253306
525,19547.578756114268
526,8111.694941762525
527,11451.525314217533
528,4269.162812650847
529,13259.165781358402
530,11410.518757570082
531,4071.0672255336863
532,15628.043492839435
533,15169.990161677513
534,1850.7984865841188
535,14181.729768046886
536,12873.152860131135
537,13121.87496081925
538,20922.454412158742
539,11730.020867762376
540,7745.548758294748
541,14182.606802569517
542,4094.059568993107
543,12235.352138734317
544,5826.137082417623
545,15395.323227882127
546,16880.938912817855
547,18610.069242956233
548,9803.159991344226
549,15806.29563254787
550,16479.342914437395
551,10282.095363935432
552,18829.05305655044
553,17891.121756176653
554,4334.881589717564
555,9072.443591022404
556,16546.069733573037
557,15178.629717731668
558,5554.2041246945055
559,4137.056298494766
560,17143.87527958086
561,16554.460943368944
562,10636.838875597192
563,10538.362023087086
564,16655.490425778356
565,5126.009038441599
566,11004.1349598765
567,12576.482530002793
568,12576.482530002793
569,4849.385348935607
570,10775.864138817242
571,12401.986779422208
572,3112.5794221807296
573,9143.124206210543
574,10032.857243394526
575,4494.1561824094315
576,3296.8011072158442
577,10494.702055702048
578,17458.441581845844
579,18363.007642579207
580,15973.05406332421
581,14734.379100623417
582,16471.765945497827
583,6235.1824947971245
584,9660.602959914086
585,3223.2029084197134
586,5522.219900558391
587,16546.069733573037
588,10006.279466260914
589,10032.857243394526
590,13149.00882579991
591,10153.86352827877
592,17984.279239414856
593,3212.0949464157156
594,1699.8061054164405
595,15700.438727570177
596,16799.594645677807
597,16781.555425057468
598,4349.855696624028
599,16335.675325901198
600,3640.0034651110122
601,13331.201606216855
602,9352.81303767576
603,4207.040731968062
604,8419.04516777246
605,16952.198156484024
606,14935.450116928008
607,16444.0193352171
608,7082.826735221612
609,15315.21385162259
610,18274.0538286179
611,11723.642370096002
612,16944.756626449147
613,6792.536325810899
614,14778.286734835976
615,4968.373237135494
616,13133.724131325853
617,4089.8379670256113
618,16505.09071768432
619,16463.35093551758
620,11584.61615576671
621,18944.68440047553
622,1689.9118430609585
623,8502.658822846348
624,18557.23028030176
625,8212.243023031695
626,10987.03561740071
627,10006.279466260914
628,10918.32877682426
629,1594.9800749454273
630,9749.177437988039
631,1594.9800749454273
632,10879.413310275266
633,5405.261961393033
634,16898.529957125516
635,12088.25704735622
636,18695.02249021399
637,12993.44388950237
638,1703.7513067602574
639,18461.402554215714
640,6783.334252160436
641,13701.429937030538
642,7221.201566762811
643,11767.169758993601
644,10422.218352392754
645,16028.281583784881
646,14047.764719059556
647,18163.360429051383
648,17450.972451947047
649,10365.819632363608
650,18208.50540193396
651,12557.34510706312
652,20102.144645779914
653,9358.616965188705
654,14577.69627313033
655,17992.723077619685
656,4958.482849373815
657,6273.356423833433
658,12645.388950154547
659,7390.919235025323
660,11506.543734258952
661,16759.477804936352
662,6749.905761972025
663,8416.334141366267
664,13521.308157767347
665,18992.12441718637
666,12694.19777670302
667,18245.33461628207
668,10990.89422886254
669,10992.349461359825
670,11737.66310735789
671,5443.8322582744595
672,16914.17926703338
673,19447.07676950946
674,15148.71522834181
675,15212.604692499752
676,17218.670192826634
677,6167.828485253855
678,13379.544788049505
679,2983.228732753138
680,2634.1639507059485
681,17967.05072018181
682,13826.317119139938
683,12391.984524254678
684,15271.950667979
685,12887.529448180927
686,14977.321008217486
687,15629.563483446127
688,16882.15374809815
689,15087.537775894292
690,10629.346920082126
691,19186.013060955294
692,8312.102742174822
693,7910.124654393078
694,9141.445796668506
695,9365.172029525462
696,9509.281408166113
697,7667.612532179638
698,12384.500362976889
699,8288.413197626563
700,17261.57494113634
701,3547.577464308634
702,8960.967869807768
703,3510.0730197551047
704,14465.256322316878
705,1501.303250224681
706,17439.118467404543
707,15340.87835605702
708,16639.304500867704
709,17290.615454449275
710,16153.754812008536
711,1168.3356905436394
712,14823.936564473419
713,1052.431109913948
714,17746.385465493506
715,17096.435138111505
716,15240.718211944908
717,13713.850907616841
718,14683.274116757526
719,17106.85772217649
720,13107.983332339516
721,8656.765191959896
722,6204.611607280041
723,3345.7115708414117
724,6566.7897103737205
725,4650.49846730656
726,7508.910609642192
727,4925.5554890053245
728,18327.105088492455
729,18405.061339408887
730,22961.590589063333
731,22721.030976845
732,18728.31730355934
733,9898.393403407736
734,6141.792240635425
735,1584.0275753514597
736,17376.868676022805
737,13617.397431240002
738,10248.80771318956
739,13272.670330171213
740,22244.947942299903
741,19375.06312782627
742,17173.153859461745
743,9287.501872072042
744,11772.747285045747
745,12009.43287945519
746,14942.612378173599
747,7212.13055116943
748,11293.122524878527
749,7287.021779745409
750,13034.828537672724
751,4637.119044445344
752,18206.475639428467
753,13758.00689885398
754,12852.674053568815
755,13718.99540934144
756,15550.288929370936
757,3646.942846000648
758,9847.164167422958
759,13187.824505044871
760,8811.69279379083
761,6919.068657047493
762,9536.489253731
763,18033.147108343164
764,12775.562193364935
765,12703.033218678049
766,13886.307727549769
767,13325.803153215737
768,12405.582834715322
769,15937.992985086486
770,12405.582834715322
771,21818.510817249764
772,19051.043418047706
773,16473.490294074858
774,9175.120093956037
775,17680.292913336405
776,12071.354110886938
777,15334.563462166221
778,6398.282632282003
779,9393.118538356839
780,14478.494876358563
781,10495.107219829406
782,7613.142846392864
783,14833.581743920031
784,4621.690259821161
785,12881.471385937013
786,9645.410444574942
787,14494.462156063895
788,16330.940457477842
789,4216.17678161536
790,14301.692279740622
791,2266.455266257157
792,12147.705251131327
793,17625.216613811943
794,13580.904474694564
795,11137.104474079235
796,15531.692199602012
797,5255.092182969253
798,11754.663657638612
799,2135.2481694909393
800,11858.19803105591
801,18504.886017186454
802,18246.67732835015
803,18917.72358854749
804,17396.403861271396
805,18246.67732835015
806,7357.018546571183
807,14399.813675113217
808,13014.792628395702
809,17396.38926546766
810,16643.33964522059
811,2385.1590216362783
812,5784.258976045761
813,16345.260077258532
814,15697.41223529007
815,14480.789730750064
816,11739.753548167573
817,12761.62575016479
818,18445.440476577453
819,16145.673331969725
820,10142.867089448922
821,15145.300332428636
822,18567.047522048033
823,13604.62991091099
824,18627.12085102209
825,7536.281278717207
826,8916.67383612914
827,7536.281278717207
828,8812.53498353648
829,17245.10379712788
830,3054.476290266699
831,10157.005268012206
832,19410.704232039603
833,6984.398872449792
834,16240.525553180043
835,11466.622334425703
836,8796.643846223084
837,17774.565538039322
838,15964.191047987026
839,12965.000478160702
840,17205.975847123445
841,7092.513472348539
842,15954.576325537768
843,19348.33478609721
844,6405.933119372483
845,11636.329259911869
846,4271.759294739478
847,8435.913790300974
848,15954.82773876083
849,18543.41491290805
850,8777.358301147442
851,4905.831496385621
852,10157.064904164901
853,10629.455931032253
854,7002.044479104401
855,5962.036747739331
856,18142.460789206354
857,11180.20120186098
858,14790.463982228683
859,6753.231035347556
860,16035.423064731709
861,6748.632093638338
862,8864.265182224466
863,8518.928407813995
864,18082.889475331885
865,7453.006882049944
866,18111.84584308499
867,18031.851415080844
868,15008.947859276846
869,5933.963107832508
870,13563.694337809235
871,16210.190811679044
872,9248.205693794205
873,4236.297747563742
874,10864.899022695641
875,15830.095226509955
876,16533.87783271317
877,15242.981555559027
878,20571.19607378346
879,8698.848405272074
880,11480.378686910786
881,11360.337858486942
882,20767.31565270081
883,11049.386730546945
884,1423.4699393833414
885,15814.239341183322
886,10381.960744987191
887,15128.749151237183
888,13776.729475548991
889,14961.56914002417
890,11065.255116624092
891,8093.332573576366
892,2168.241205323818
893,12232.719966113704
894,14258.972535870453
895,4873.070809604155
896,2168.241205323818
897,16854.892829133554
898,19079.707650375007
899,19268.923293522268
900,8084.340515983424
901,14071.22701584806
902,16079.186199319303
903,13837.914291652958
904,18402.907459989932
905,16810.351375456143
906,17290.096556349654
907,13264.718158643354
908,11389.014821922146
909,16922.50096111751
910,7831.681353896959
911,18416.225914829218
912,18439.214766636647
913,10758.947196419798
914,16312.182916122067
915,14733.297998455271
916,15783.390772011428
917,15657.250013167348
918,18237.77265166178
919,16866.048700673684
920,21072.88704052981
921,12767.393030302856
922,9671.613814707132
923,6448.825598214802
924,14065.142927602998
925,9969.632988877167
926,17979.947366764696
927,16188.53389064786
928,10838.857163731467
929,13294.117438635985
930,2180.408311825272
931,15857.384321297079
932,15537.926066865573
933,13590.196445819387
934,13902.355430341357
935,9651.903186604664
936,15582.748213830879
937,13724.190488581446
938,13321.416416185164
939,16934.19594239438
940,2399.9219783455137
941,5901.8546038172535
942,19169.564543054465
943,11714.597011540553
944,22204.938230742548
945,7694.894586855615
946,9574.858605453865
947,18913.20588549027
948,8200.912382658911
949,7040.081373507018
950,3948.878895590405
951,9265.730845644612
952,6810.583053527479
953,17750.10714532486
954,12100.822301489703
955,16854.510782526195
956,16891.145011739234
957,8289.475406012474
958,15205.591294756472
959,10923.222892509282
960,14345.485048436714
961,13376.190650684952
962,3836.227365337217
963,16315.310281889175
964,16546.069733573037
965,13099.24577823638
966,13453.418913026324
967,3168.2068550219433
968,12102.74932310951
969,14913.224252534887
970,16173.573994530117
971,15964.754295529801
972,17764.96914505262
973,5938.31987535665
974,8529.001905421705
975,6901.401795311034
976,8946.83154599994
977,10370.938590112572
978,16462.08886382207
979,17890.174993252298
980,12618.367055915243
981,873.3950837233709
982,17240.75175421281
983,15336.222011058611
984,16040.70623259943
985,8777.469600650025
986,3296.8011072158442
987,10878.419351138524
988,1107.2469422026527
989,11139.450837209102
990,18337.16949974419
991,6231.151956172821
992,1736.1768301543157
993,2321.5319642359655
994,16759.16019655429
995,9108.507328825599
996,6194.9229669353335
997,10852.6538784144
998,15150.693251864759
999,18100.488110306305
1000,11743.972357890902
1001,4432.582259237104
1002,7199.629296084739
1003,9064.450607902581
1004,12891.28549335503
1005,18472.12605521872
1006,11176.070281922717
1007,4236.678489778228
1008,16058.18513107258
1009,13198.722838896685
1010,2016.9743765223795
1011,16785.250478597194
1012,15987.205103666554
1013,5504.039201963163
1014,7009.571914819033
1015,21091.550625305947
1016,7667.612532179638
1017,8944.102967950603
1018,18171.572365226137
1019,12346.06072238265
1020,5818.142390407703
1021,6643.439333112646
1022,10873.865138026455
1023,12189.052366315616
1024,12242.773882632186
1025,11618.587769043022
1026,8021.525887030849
1027,11765.230087504948
1028,13300.52938836696
1029,8502.658822846348
1030,6145.248276991735
1031,7510.233748015672
1032,16207.542668307091
1033,14017.184939858698
1034,13938.05152618482
1035,9550.575890521046
1036,10591.725012367204
1037,11437.665024544678
1038,2654.3945637717457
1039,15997.932692107986
1040,2431.9187723767664
1041,15838.639962551928
1042,12739.297507239382
1043,17170.798643980852
1044,1168.3356905436394
1045,12343.215156223752
1046,18236.60268199502
1047,8038.486893067748
1048,9921.920089629399
1049,11941.573091384233
1050,11531.297489337987
1051,11821.007750504301
1052,13166.407703145818
1053,13340.663074418033
1054,8455.579712500157
1055,18761.877045029047
1056,15612.833415677209
1057,23059.545473945625
1058,15232.616889535908
1059,16235.008767925361
1060,15746.901827384278
1061,16964.653238595853
1062,14493.859799243184
1063,17147.354992138342
1064,12403.358057261075
1065,17265.626641657334
1066,4852.81439934043
1067,12145.620412746186
1068,2399.9219783455137
1069,2399.9219783455137
1070,8260.485225781298
1071,17939.314906069605
1072,3556.0264425291234
1073,15628.994955263674
1074,14090.242179327048
1075,16868.852640311386
1076,12030.924984574485
1077,860.6078467766424
1078,22162.986500637908
1079,7354.266970876881
1080,17151.089398121338
1081,9815.961615614648
1082,15483.961563908164
1083,17364.8156304609
1084,19679.143682428952
1085,7543.404864703268
1086,4297.761791158464
1087,16056.865986705861
1088,12015.559131296539
1089,3829.9708642300684
1090,10268.564858253829
1091,8840.988855803891
1092,15153.471783305122
1093,18281.453142375834
1094,11305.860656498791
1095,1420.019887468659
1096,9072.039713549311
1097,19254.365265633172
1098,15310.538153618472
1099,4582.721836469895
1100,7314.009783371751
1101,11411.156499893614
1102,10835.221973688042
1103,10913.172601515145
1104,15616.526973408934
1105,18201.355733929464
1106,13778.354183037556
1107,5475.026282765979
1108,16672.250310155614
1109,3992.925739674084
1110,14515.22825856858
1111,19082.786425103055
1112,10848.374277267958
1113,15485.469126482518
1114,3893.5184395117603
1115,16667.723596829575
1116,12168.970025181015
1117,15240.090678433462
1118,9679.622315610386
1119,17101.82560356551
1120,3953.0557282825457
1121,3682.3238144949796
1122,15712.489719303667
1123,17514.979957628613
1124,6223.072045072505
1125,16665.823711832632
1126,17431.636312909373
1127,7719.680612774351
1128,10392.061818912514
1129,17188.888712981647
1130,15445.90217668878
1131,6228.731811993122
1132,16512.30552747803
1133,14278.300751795296
1134,7989.399282545509
1135,15491.568980948263
1136,8773.822598591889
1137,15214.739825609886
1138,4928.090044965913
1139,13433.078796300628
1140,17303.97435582045
1141,7614.200967604794
1142,10987.841250426558
1143,10316.19460649163
1144,5787.889728269573
1145,18331.913968424775
1146,16484.37378578778
1147,8881.39160693409
1148,4726.312202441393
1149,10494.702055702048
1150,13911.667667268744
1151,10196.172350320554
1152,16892.756282542257
1153,9863.099426718494
1154,4898.86725878079
1155,2493.752685267049
1156,17941.67845629015
1157,11361.691857444668
1158,7651.586571456007
1159,16574.631282110884
1160,18116.176442066015
1161,16358.543843429741
1162,19628.120764526233
1163,7150.993130901384
1164,17143.338811710477
1165,14640.023738348005
1166,19242.33606151902
1167,2694.191244175974
1168,11413.315767523362
1169,4442.661347983151
1170,4968.261367794764
1171,14053.724474852756
1172,15673.988773815221
1173,9745.33637243026
1174,9538.599141712726
1175,18144.734392689068
1176,17418.385893550098
1177,17418.385893550098
1178,4551.660736567932
1179,14172.680457874825
1180,18632.458367056654
1181,17662.941357989097
1182,7620.20039876074
1183,20589.36547397094
1184,20461.8084601138
1185,13424.511732809737
1186,20589.36547397094
1187,7890.404608742659
1188,6486.486548853751
1189,8666.888037845043
1190,11945.718649113915
1191,8897.601934246806
1192,16800.62292034168
1193,12825.508486690669
1194,11832.055261839228
1195,905.305796355547
1196,11832.055261839228
1197,10477.114332639409
1198,20020.76730358666
1199,18269.546237629973
1200,2645.0646544133297
1201,6197.142087348695
1202,8877.699805317056
1203,15313.303008305169
1204,15949.660087688108
1205,14252.011814001944
1206,2811.5669865811974
1207,17566.967329613577
1208,20050.68273904755
1209,13038.72912345374
1210,16540.95145023908
1211,17316.473309500434
1212,16584.913573785023
1213,1836.5644686449411
1214,13983.59916479652
1215,3560.051149863001
1216,12774.012770026158
1217,13640.336121581238
1218,18100.734210090715
1219,1524.6965506502331
1220,8746.148530540786
1221,17022.081607653665
1222,12331.850231139935
1223,15280.582967273176
1224,11457.163414181257
1225,16789.45907864752
1226,23837.314731163944
1227,12069.188780371962
1228,10872.341616273838
1229,13546.47176582135
1230,18983.989905654995
1231,16444.576207025177
1232,14625.098034993896
1233,23021.9432649169
1234,20750.039876902454
1235,11372.016265317241
1236,16728.51771111957
1237,17970.397200334726
1238,8831.821003606807
1239,18203.6016686111
1240,13222.059113940944
1241,6244.438813927052
1242,16627.087384147337
1243,15607.227262720873
1244,10365.55324884241
1245,15541.907358526052
1246,14182.618890625332
1247,7743.608678643717
1248,3757.1752385558234
1249,20728.44584759805
1250,6969.021299440343
1251,17046.541385344874
1252,22803.879147040847
1253,13639.295890893998
1254,17733.374604929002
1255,8573.14069968458
1256,18504.67519143852
1257,11665.242453762188
1258,15995.16539872055
1259,7437.102751444046
1260,10343.920554955843
1261,17307.08241417896
1262,18383.260548031456
1263,8620.818863234996
1264,15802.932907789624
1265,12876.023942837195
1266,5741.001455071504
1267,19313.25272681042
1268,13397.249706228975
1269,3709.6353091754377
1270,3970.978861748063
1271,16866.566939819902
1272,18625.38941089456
1273,12618.367055915243
1274,10356.112087250092
1275,15010.963837737909
1276,12590.528784588283
1277,13024.680464893476
1278,13139.62642406902
1279,9465.797621336827
1280,8007.957343112736
1281,16087.47697395321
1282,9862.693550892316
1283,2645.0646544133297
1284,6994.160108918128
1285,14975.164024094345
1286,7299.753454894259
1287,15011.623870444662
1288,12740.014095255627
1289,13525.671166730059
1290,15821.075126281035
1291,16745.48962335474
1292,17482.961374517537
1293,12060.171335735822
1294,12248.879610965325
1295,14677.377158387753
1296,4678.77583246325
1297,7494.292935071462
1298,16919.192745694527
1299,9653.516082456676
1300,16748.560858456065
1301,2905.8750105403296
1302,17023.110081083032
1303,7221.283304368364
1304,2980.642948129466
1305,13153.807978051069
1306,9528.982486255336
1307,12965.257645172414
1308,15960.000030511557
1309,13473.705364601698
1310,14419.246511898822
1311,10624.909195166887
1312,14495.197515118412
1313,17601.64455187776
1314,14495.197515118412
1315,18314.810336294962
1316,17687.805752929664
1317,9741.041112341401
1318,7879.720410163291
1319,6107.749521715438
1320,19200.08546761332
1321,9259.540255523449
1322,7758.074393196314
1323,10045.391963874576
1324,16724.656592387382
1325,19104.264227891123
1326,5321.931727985087
1327,7349.300917257803
1328,15577.055419173787
1329,16401.365717249235
1330,13780.946163938203
1331,15762.575548330102
1332,15900.601892868308
1333,16085.233071218563
1334,19535.894093413768
1335,6445.341576914416
1336,15004.705049864915
1337,11609.597645965156
1338,18429.773739617005
1339,17506.230133166842
1340,12579.932158723845
1341,16434.509556663575
1342,14640.980838435864
1343,5376.859339720449
1344,19653.755425687414
1345,5480.380389805201
1346,15166.638704076784
1347,6097.121287690671
1348,18364.654222709352
1349,10144.641237394662
1350,6299.980691509027
1351,7879.869218244281
1352,17413.59148003624
1353,16008.096888267193
1354,13661.554186014788
